kod_origin,kod_dest,gmina_dest,no,gmina_origin
0201011,0201022,Bolesławiec,155,Bolesławiec
0201011,0201032,Gromadka,6,Bolesławiec
0201011,0201043,Nowogrodziec,5,Bolesławiec
0201011,0201043,Nowogrodziec,11,Bolesławiec
0201011,0201052,Osiecznica,21,Bolesławiec
0201011,0201062,Warta Bolesławiecka,57,Bolesławiec
0201011,0203011,Głogów,7,Bolesławiec
0201011,0209022,Chojnów,6,Bolesławiec
0201011,0210011,Lubań,3,Bolesławiec
0201011,0212033,Lwówek Śląski,3,Bolesławiec
0201011,0212033,Lwówek Śląski,3,Bolesławiec
0201011,0223083,Siechnice,5,Bolesławiec
0201011,0225063,Węgliniec,5,Bolesławiec
0201011,0264029,Wrocław-Fabryczna,23,Bolesławiec
0201011,0264039,Wrocław-Krzyki,16,Bolesławiec
0201011,0264049,Wrocław-Psie Pole,11,Bolesławiec
0201011,0264069,Wrocław-Śródmieście,3,Bolesławiec
0201011,0801022,Bogdaniec,3,Bolesławiec
0201011,0810073,Szprotawa,4,Bolesławiec
0201011,0862011,M. Zielona Góra,8,Bolesławiec
0201011,1016011,Tomaszów Mazowiecki,3,Bolesławiec
0201011,1261011,M. Kraków,4,Bolesławiec
0201011,1465068,Ochota,4,Bolesławiec
0201011,1818062,Zaleszany,3,Bolesławiec
0201011,2466011,M. Gliwice,3,Bolesławiec
0201011,3021152,Suchy Las,3,Bolesławiec
0201022,0201011,Bolesławiec,85,Bolesławiec
0201022,0201032,Gromadka,4,Bolesławiec
0201022,0201043,Nowogrodziec,4,Bolesławiec
0201022,0201043,Nowogrodziec,10,Bolesławiec
0201022,0201052,Osiecznica,11,Bolesławiec
0201022,0201062,Warta Bolesławiecka,19,Bolesławiec
0201022,0210011,Lubań,3,Bolesławiec
0201022,0212013,Gryfów Śląski,3,Bolesławiec
0201022,0216062,Radwanice,3,Bolesławiec
0201022,0261011,M. Jelenia Góra,4,Bolesławiec
0201022,0262011,M. Legnica,3,Bolesławiec
0201022,0264029,Wrocław-Fabryczna,5,Bolesławiec
0201022,0264069,Wrocław-Śródmieście,3,Bolesławiec
0201032,0201011,Bolesławiec,15,Gromadka
0201032,0201022,Bolesławiec,6,Gromadka
0201032,0201062,Warta Bolesławiecka,8,Gromadka
0201032,0203011,Głogów,3,Gromadka
0201032,0209011,Chojnów,6,Gromadka
0201032,0212043,Mirsk,3,Gromadka
0201032,0264029,Wrocław-Fabryczna,4,Gromadka
0201043,0201011,Bolesławiec,16,Nowogrodziec
0201043,0201022,Bolesławiec,7,Nowogrodziec
0201043,0201043,Nowogrodziec,21,Nowogrodziec
0201043,0201062,Warta Bolesławiecka,3,Nowogrodziec
0201043,0212023,Lubomierz,4,Nowogrodziec
0201043,0218012,Kostomłoty,4,Nowogrodziec
