kod_dest,kod_origin,gmina_dest,no,gmina_origin,pop_origin,den_origin,pop_dest,den_dest
201011,201022,Bolesławiec,85,Bolesławiec,15119,52,37522,1642
201011,201032,Bolesławiec,15,Gromadka,5094,19,37522,1642
201011,201043,Bolesławiec,16,Nowogrodziec,14747,84,37522,1642
201011,201043,Bolesławiec,31,Nowogrodziec,14747,84,37522,1642
201011,201052,Bolesławiec,20,Osiecznica,7329,17,37522,1642
201011,201062,Bolesławiec,33,Warta Bolesławiecka,8464,77,37522,1642
201011,204043,Bolesławiec,3,Wąsosz,6841,35,37522,1642
201011,209022,Bolesławiec,4,Chojnów,9536,41,37522,1642
201011,210011,Bolesławiec,3,Lubań,19964,1238,37522,1642
201011,211011,Bolesławiec,6,Lubin,69267,1699,37522,1642
201011,211022,Bolesławiec,4,Lubin,17722,61,37522,1642
201011,212033,Bolesławiec,12,Lwówek Śląski,16354,68,37522,1642
201011,212033,Bolesławiec,19,Lwówek Śląski,16354,68,37522,1642
201011,212053,Bolesławiec,3,Wleń,3964,46,37522,1642
201011,216013,Bolesławiec,3,Chocianów,12503,56,37522,1642
201011,223052,Bolesławiec,3,Kobierzyce,24053,161,37522,1642
201011,225063,Bolesławiec,3,Węgliniec,7958,23,37522,1642
201011,226032,Bolesławiec,3,Pielgrzymka,4297,41,37522,1642
201011,261011,Bolesławiec,10,M. Jelenia Góra,76570,701,37522,1642
201011,262011,Bolesławiec,3,M. Legnica,93988,1670,37522,1642
201011,264039,Bolesławiec,8,Wrocław-Krzyki,,,37522,1642
201011,617011,Bolesławiec,3,Świdnik,37396,1838,37522,1642
201011,810021,Bolesławiec,3,Żagań,24130,598,37522,1642
201011,1607053,Bolesławiec,5,Nysa,54758,252,37522,1642
201011,2209011,Bolesławiec,3,Malbork,37341,2176,37522,1642
201011,2213082,Bolesławiec,3,Osiek,2269,15,37522,1642
201011,2407011,Bolesławiec,3,Lubliniec,23542,263,37522,1642
201011,2462011,Bolesławiec,3,M. Bytom,151691,2183,37522,1642
201011,2819033,Bolesławiec,4,Węgorzewo,15656,46,37522,1642
201011,3021152,Bolesławiec,4,Suchy Las,20108,173,37522,1642
201022,201011,Bolesławiec,155,Bolesławiec,37522,1642,15119,52
201022,201032,Bolesławiec,6,Gromadka,5094,19,15119,52
201022,201043,Bolesławiec,7,Nowogrodziec,14747,84,15119,52
201022,201043,Bolesławiec,5,Nowogrodziec,14747,84,15119,52
201022,201052,Bolesławiec,6,Osiecznica,7329,17,15119,52
201022,201062,Bolesławiec,11,Warta Bolesławiecka,8464,77,15119,52
201022,210011,Bolesławiec,3,Lubań,19964,1238,15119,52
201022,210053,Bolesławiec,4,Olszyna,6360,135,15119,52
201022,211011,Bolesławiec,9,Lubin,69267,1699,15119,52
201022,212013,Bolesławiec,5,Gryfów Śląski,9306,140,15119,52
201022,212023,Bolesławiec,3,Lubomierz,5657,43,15119,52
201022,212033,Bolesławiec,3,Lwówek Śląski,16354,68,15119,52
